"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-01",,,"0.02","0.0","0.0","62","37","55"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-02",,,"0.00","0.0","0.0","59","37","55"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-03",,,"0.00","0.0","0.0","65","35","62"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-04",,,"0.23","0.0","0.0","69","45","64"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-05",,,"0.00","0.0","0.0","64","49","53"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-06",,,"0.00","0.0","0.0","54","36",
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-07",,,"0.00","0.0","0.0","65","32","61"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-08",,,"0.00","0.0","0.0","74","45","67"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-09",,,"0.01","0.0","0.0","76","57","74"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-10",,,"0.00","0.0","0.0","80","59","78"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-11",,,"0.00","0.0","0.0","80","61","75"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-12",,,"0.70","0.0","0.0","75","48","68"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-13",,,"0.29","0.0","0.0","68","59",
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-14",,,"0.35","0.0","0.0","71","60","60"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-15",,,"0.00","0.0","0.0","68","51","65"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-16",,,"0.00","0.0","0.0","75","50","73"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-17",,,"0.00","0.0","0.0","78","58",
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-18",,,"0.00","0.0","0.0","74","62","71"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-19",,,"0.00","0.0","0.0","78",,
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-20",,,"0.00","0.0","0.0","77","36","68"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-21",,,"0.00","0.0","0.0","76","48","70"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-22",,,"0.00","0.0","0.0","75","51","73"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-23",,,"0.25","0.0","0.0","73","58","58"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-24",,,"0.00","0.0","0.0","59","39","53"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-25",,,"0.00","0.0","0.0","69","49","66"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-26",,,"0.00","0.0","0.0","75",,
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-27",,,"1.02","0.0","0.0","70","58",
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-28",,,"0.96","0.0","0.0","69","56","62"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-29",,,"0.00","0.0","0.0","68","46","65"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-30",,,"0.00","0.0","0.0","75","48","73"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-01-31",,,"0.00","0.0","0.0","73","51","65"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-01",,,"0.00","0.0","0.0","65","40","48"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-02",,,"0.00","0.0","0.0","52","30","50"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-03",,,"0.00","0.0","0.0","52","40","49"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-04",,,"0.00","0.0","0.0","55","31","53"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-05",,,"0.00","0.0","0.0","60","36","55"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-06",,,"0.00","0.0","0.0","62","36","56"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-07",,,"0.00","0.0","0.0","56","38","51"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-08",,,"0.00","0.0","0.0","71","36","65"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-09",,,"0.00","0.0","0.0","76",,
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-10",,,"0.95","0.0","0.0","65","47","52"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-11",,,"0.00","0.0","0.0","57","46","54"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-12",,,"0.00","0.0","0.0","59","45","56"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-13",,,"0.00","0.0","0.0","69","43","60"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-14",,,"0.15","0.0","0.0","62","53","62"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-15",,,"0.04","0.0","0.0","72","58","71"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-16",,,"0.00","0.0","0.0","71","52","69"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-17",,,"0.39","0.0","0.0","69","45","49"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-18",,,"0.00","0.0","0.0","59","41","59"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-19",,,"0.12","0.0","0.0","64","50","62"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-20",,,"0.01","0.0","0.0","71","45",
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-21",,,"0.00","0.0","0.0","76","55","72"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-22",,,"0.00","0.0","0.0","79","53","77"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-23",,,"0.00","0.0","0.0","78","62","76"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-24",,,"0.00","0.0","0.0","77","65","72"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-25",,,"0.17","0.0","0.0","73","65","65"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-26",,,"0.01","0.0","0.0","65","46","55"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-27",,,"0.00","0.0","0.0","57","31","56"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-28",,,"0.00","0.0","0.0","65","42","63"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-02-29",,,"0.00","0.0","0.0","71","46","68"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-03-01",,,"0.29","0.0","0.0","72","57","64"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-03-02",,,"1.53","0.0","0.0","62","41","42"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-03-03",,,"0.00","0.0","0.0","44","34","42"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-03-04",,,"0.00","0.0","0.0","70","39","69"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-03-05",,,"0.00","0.0","0.0","78","48","72"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-03-06",,,"0.00","0.0","0.0","78","53","70"
"USC00088824","TARPON SPGS SEWAGE PLANT, FL US","1980-03-07",,,"0.00","0.0","0.0","84","56","75"
